100
103,0
97,0
91,0
84,1
78,2
72,4
66,6
60,8
55,11
49,14
44,17
39,21
34,25
29,29
25,34
21,39
17,44
14,49
11,55
8,60
6,66
4,72
2,78
1,84
0,91
0,97
0,103
0,109
1,116
2,122
4,128
6,134
8,140
11,145
14,151
17,156
21,161
25,166
29,171
34,175
39,179
44,183
49,186
55,189
60,192
66,194
72,196
78,198
84,199
91,200
97,200
103,200
109,200
116,199
122,198
128,196
134,194
140,192
145,189
151,186
156,183
161,179
166,175
171,171
175,166
179,161
183,156
186,151
189,145
192,140
194,134
196,128
198,122
199,116
200,109
200,103
200,97
200,91
199,84
198,78
196,72
194,66
192,60
189,55
186,49
183,44
179,39
175,34
171,29
166,25
161,21
156,17
151,14
145,11
140,8
134,6
128,4
122,2
116,1
109,0
